"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"FGNA","FG New America Acquisition Corp. Class A","11/20/2020","$227,750,250","N","0.00","1.00","1.00","0.00","23,075,000","274,639","1.19%","Analyze"
"RCHG","Recharge Acquisition Corp. - Class A","11/20/2020","$0","N","0.00","0.99","0.99","0.00","0","28,869","0.00%","Analyze"
"VYGG","Vy Global Growth Class A","11/20/2020","$0","N","0.00","1.02","1.02","0.00","0","16,138","0.00%","Analyze"
"FCAC","Falcon Capital Acquisition Corp. - Class A","11/19/2020","$343,965,000","N","0.00","1.03","1.03","0.00","34,500,000","4,084","0.01%","Analyze"
"JYAC","Jiya Acquisition Corp. - Class A","11/19/2020","$149,050,000","N","0.00","1.20","1.20","0.00","14,905,000","626,571","4.20%","Analyze"
"NBA","New Beginnings Acquisition Corp.","11/19/2020","$103,950,000","N","0.00","1.00","1.00","0.00","0","51,987","0.00%","Analyze"
"LSAQ","LifeSci Acquisition II Corp.","11/19/2020","$94,875,000","N","0.00","1.00","1.00","0.00","2,156,250","119,672","5.55%","Analyze"
"DBDR","Roman DBDR Tech Acquisition Corp. - Class A","11/19/2020","$0","N","0.00","1.21","1.21","0.00","0","1,362,917","0.00%","Analyze"
"PDAC","Peridot Acquisition Corp. Class A","11/16/2020","$298,200,000","N","0.00","1.02","1.02","0.00","30,000,000","86,704","0.29%","Analyze"
"VACQ","Vector Acquisition Corporation - Class A","11/16/2020","$294,600,000","N","0.00","1.01","1.01","0.00","30,000,000","1,807","0.01%","Analyze"
"PAIC","Petra Acquisition, Inc.","11/16/2020","$91,048,370","N","0.00","1.20","1.20","0.00","9,290,650","46,891","0.50%","Analyze"
"DGNS","Dragoneer Growth Opportunities Corp. II - Class A","11/16/2020","$0","N","0.00","1.15","1.15","0.00","0","688,571","0.00%","Analyze"
"FTIV","FinTech Acquisition Corp. IV - Class A","11/13/2020","$314,800,000","N","0.00","1.01","1.01","0.00","23,610,000","440,125","1.86%","Analyze"
"ASPL","Aspirational Consumer Lifestyle Corp. Class A","11/13/2020","$236,153,750","N","0.00","1.01","1.01","0.00","23,975,000","43,193","0.18%","Analyze"
"VIH","VPC Impact Acquisition Holdings - Class A","11/13/2020","$198,000,000","N","0.00","0.99","0.99","0.00","20,000,000","109,039","0.55%","Analyze"
"PMVC","PMV Consumer Acquisition Corp. Class A","11/12/2020","$170,975,000","N","0.00","1.01","1.01","0.00","17,500,000","29,152","0.17%","Analyze"
"NMMC","North Mountain Merger Corp. - Class A","11/10/2020","$113,620,000","N","0.00","1.01","1.01","0.00","11,500,000","32,884","0.29%","Analyze"
"STWO","ACON S2 Acquisition Corp. - Class A","11/10/2020","$0","N","0.00","0.00","0.00","0.00","25,000,000","0","0.00%","Analyze"
"RTP","Reinvent Technology Partners Class A","11/09/2020","$776,250,000","N","0.00","1.04","1.04","0.00","69,000,000","112,350","0.16%","Analyze"
"OACB","Oaktree Acquisition Corp. II Class A","11/09/2020","$248,250,000","N","0.00","1.00","1.00","0.00","25,000,000","59,404","0.24%","Analyze"
"AHAC","Alpha Healthcare Acquisition Corp.","11/09/2020","$0","N","0.00","0.00","0.00","0.00","10,355,000","0","0.00%","Analyze"
"ENPC","Executive Network Partnering Corporation Class A","11/06/2020","$415,938,600","N","1.00","1.02","1.02","0.00","16,805,600","20,449","0.12%","Analyze"
"EQD","Equity Distribution Acquisition Corp. Class A","11/06/2020","$411,930,000","N","0.00","1.00","1.00","0.00","41,400,000","18,518","0.04%","Analyze"
"SBG","Sandbridge Acquisition Corporation Class A","11/05/2020","$224,250,000","N","0.00","1.01","1.01","0.00","23,000,000","77,240","0.34%","Analyze"
"TWCT","TWC Tech Holdings II Corp. - Class A","11/02/2020","$599,400,000","N","0.00","1.02","1.02","0.00","60,000,000","57,268","0.10%","Analyze"
"SVAC","Starboard Value Acquisition Corp. - Class A","11/02/2020","$504,282,574","N","0.00","1.01","1.09","0.00","50,529,316","43,237","0.09%","Analyze"
"LEAP","Ribbit LEAP, Ltd. Class A","11/02/2020","$498,697,500","N","0.00","1.06","1.14","0.00","40,250,000","15,414","0.04%","Analyze"
"SNPR","Tortoise Acquisition Corp. II Class A","11/02/2020","$359,145,000","N","0.00","1.03","1.09","0.00","34,500,000","135,971","0.39%","Analyze"
"BSN","Broadstone Acquisition Corp. Class A","11/02/2020","$297,667,500","N","0.00","1.01","1.07","0.00","30,530,000","68,971","0.23%","Analyze"
"PIAI","Prime Impact Acquisition I Class A","11/02/2020","$293,100,000","N","0.00","1.00","1.07","0.00","30,000,000","128,960","0.43%","Analyze"
"NSH","NavSight Holdings, Inc. Class A","11/02/2020","$283,187,500","N","1.19","1.01","1.01","1.23","28,750,000","30,988","0.11%","Analyze"
